Ticker,Signal Date,Buy Date,Buy Price,%BelowSMA100_at_Buy,Sell Date,Sell Price,%Gain,Cost_bps,Slippage_bps,Net%Gain,HoldingDays,ExitReason,RSI14_at_Signal,IBS_at_Signal,RV20_at_Signal,Breadth_at_Signal,Slope_at_Signal,Votes_At_Entry
ALGN,2022-06-14,2022-06-15,240.990005,38.8831,2022-06-16,229.820007,-4.635,10,5,-4.9211,1,MACD_DownCross,30.843,0.251,0.501,0.181,-3.121912,4
CZR,2022-06-14,2022-06-15,39.970001,41.8363,2022-07-14,35.389999,-11.4586,10,5,-11.7242,19,ATR_Trailing,29.557,0.427,0.908,0.181,-0.39064,5
NFLX,2022-06-14,2022-06-15,169.259995,44.5706,2022-07-18,190.919998,12.7969,10,5,12.4585,21,TimeStop,33.027,0.419,0.59,0.181,-3.712213,5
PYPL,2022-06-14,2022-06-15,73.470001,29.5492,2022-06-28,71.82,-2.2458,10,5,-2.5391,8,MACD_DownCross,34.077,0.277,0.578,0.181,-1.039786,3
TGT,2022-06-14,2022-06-15,129.806754,31.0629,2022-07-18,136.036652,4.7994,10,5,4.485,21,TimeStop,25.02,0.274,1.048,0.181,-0.625085,5
EXPE,2022-06-15,2022-06-16,99.35343,40.8453,2022-07-19,99.871094,0.521,10,5,0.2195,21,TimeStop,29.159,0.702,0.63,0.191,-0.552429,3
ABNB,2022-06-16,2022-06-17,93.529999,36.0642,2022-06-30,89.080002,-4.7578,10,5,-5.0436,8,MACD_DownCross,29.94,0.216,0.713,0.141,-0.487693,2
DDOG,2022-06-16,2022-06-17,82.309998,36.1349,2022-07-14,93.779999,13.9351,10,5,13.5933,17,MACD_DownCross,36.036,0.13,0.964,0.141,-0.494868,3
MGM,2022-06-16,2022-06-17,27.355303,31.1957,2022-07-20,31.284628,14.364,10,5,14.0209,21,TimeStop,29.88,0.095,0.72,0.141,-0.104409,4
WDAY,2022-06-16,2022-06-17,136.910004,34.7336,2022-07-20,147.300003,7.5889,10,5,7.2662,21,TimeStop,29.58,0.132,0.527,0.141,-0.975876,4
XYZ,2022-06-16,2022-06-17,56.209999,46.5346,2022-07-20,74.779999,33.0368,10,5,32.6377,21,TimeStop,30.821,0.178,0.984,0.141,-0.641662,3
RCL,2022-06-17,2022-06-21,37.408075,47.018,2022-07-11,32.235043,-13.8287,10,5,-14.0872,13,ATR_Trailing,25.074,0.952,0.9,0.133,-0.289031,4
ALGN,2022-06-21,2022-06-22,226.479996,41.1844,2022-07-22,265.880005,17.3967,10,5,17.0445,21,TimeStop,31.848,0.028,0.52,0.181,-2.753486,4
FCX,2022-06-23,2022-06-24,28.315233,30.4418,2022-07-14,24.00815,-15.2112,10,5,-15.4656,13,ATR_Trailing,25.207,0.35,0.573,0.195,-0.029895,3
CCL,2022-06-28,2022-06-29,9.49,43.6176,2022-07-26,8.5,-10.432,10,5,-10.7007,18,ATR_Trailing,39.794,0.027,0.933,0.233,-0.10093,4
NVDA,2022-07-01,2022-07-05,14.154582,32.5285,2022-08-03,18.865786,33.2839,10,5,32.8841,21,TimeStop,34.996,0.195,0.575,0.258,-0.076931,4
ABNB,2022-07-14,2022-07-15,92.550003,31.3473,2022-08-15,126.040001,36.1858,10,5,35.7773,21,MARecovery,38.736,0.2,0.68,0.191,-0.622487,4
RCL,2022-07-14,2022-07-15,31.483318,49.8751,2022-08-15,41.928303,33.1763,10,5,32.7767,21,TimeStop,30.315,0.117,0.92,0.191,-0.449475,4
WBD,2022-07-18,2022-07-19,14.0,30.6343,2022-08-05,14.59,4.2143,10,5,3.9016,13,ATR_Trailing,42.633,0.167,0.419,0.183,-0.147809,4
EXPE,2022-07-22,2022-07-25,99.582392,30.967,2022-08-23,105.495811,5.9382,10,5,5.6204,21,MACD_DownCross,47.004,0.164,0.526,0.233,-1.033146,3
FCX,2022-07-22,2022-07-25,27.309397,28.3645,2022-08-23,30.419258,11.3875,10,5,11.0533,21,TimeStop,40.689,0.031,0.577,0.233,-0.137817,4
NEM,2022-07-25,2022-07-26,40.667194,34.9805,2022-08-24,40.540508,-0.3115,10,5,-0.6106,21,TimeStop,13.183,0.1,0.532,0.268,-0.060167,5
COIN,2022-07-26,2022-07-27,54.869999,48.4641,2022-08-18,83.470001,52.1232,10,5,51.6668,16,MACD_DownCross,42.867,0.029,1.419,0.252,-1.361478,2
NCLH,2022-07-26,2022-07-27,11.64,28.9559,2022-08-22,12.55,7.8179,10,5,7.4944,18,MACD_DownCross,42.29,0.039,0.86,0.252,-0.094094,4
NEM,2022-08-26,2022-08-29,38.929745,30.3287,2022-09-27,36.928162,-5.1415,10,5,-5.4261,20,MACD_DownCross,31.149,0.135,0.261,0.38,-0.280757,6
WDC,2022-09-22,2022-09-23,25.047813,32.6431,2022-10-24,26.34547,5.1807,10,5,4.8652,21,TimeStop,21.797,0.228,0.448,0.215,-0.061155,4
FDX,2022-09-23,2022-09-26,139.861428,31.0659,2022-10-25,146.766418,4.937,10,5,4.6222,21,TimeStop,18.731,0.426,0.862,0.167,-0.071595,5
MTCH,2022-09-23,2022-09-26,46.752218,30.9175,2022-10-13,43.64785,-6.64,10,5,-6.9201,13,ATR_Trailing,27.704,0.431,0.489,0.167,-0.31129,5
CHTR,2022-09-26,2022-09-27,312.130005,30.4852,2022-10-26,344.869995,10.4892,10,5,10.1577,21,TimeStop,15.839,0.043,0.356,0.139,-1.359379,5
CCL,2022-09-30,2022-10-03,7.17,31.8875,2022-11-01,9.05,26.2204,10,5,25.8417,21,TimeStop,29.03,0.013,1.095,0.133,-0.081784,4
AMD,2022-10-07,2022-10-10,57.310001,33.7931,2022-11-08,63.849998,11.4116,10,5,11.0774,21,TimeStop,25.54,0.038,0.69,0.185,-0.205242,4
GNRC,2022-10-07,2022-10-10,155.0,32.455,2022-10-19,110.300003,-28.8387,10,5,-29.0522,7,ATR_Trailing,28.92,0.07,0.641,0.185,-0.511012,5
KMX,2022-10-07,2022-10-10,62.400002,31.4382,2022-11-08,64.769997,3.7981,10,5,3.4867,21,TimeStop,26.618,0.217,1.053,0.185,-0.143205,4
DASH,2022-10-11,2022-10-12,44.849998,31.9317,2022-11-10,59.459999,32.5753,10,5,32.1775,21,TimeStop,29.062,0.622,0.607,0.181,-0.222251,4
MTCH,2022-10-14,2022-10-17,42.036719,33.9745,2022-10-20,41.948303,-0.2103,10,5,-0.5097,3,MACD_DownCross,25.204,0.021,0.457,0.167,-0.264406,4
GNRC,2022-10-20,2022-10-21,109.849998,50.3927,2022-11-09,96.970001,-11.7251,10,5,-11.9899,13,ATR_Trailing,22.146,0.375,1.167,0.197,-0.646253,5
META,2022-10-27,2022-10-28,99.036684,36.7263,2022-11-29,108.86277,9.9217,10,5,9.5919,21,TimeStop,23.846,0.255,1.062,0.346,-0.607023,3
FIS,2022-11-03,2022-11-04,53.605532,35.4022,2022-12-06,64.894356,21.0591,10,5,20.6959,21,TimeStop,20.719,0.055,1.181,0.357,-0.214659,3
